-0.5,-1.5,-1.5,1.5,-0.3776,-1.4548,-1.2614,1.5905
1.5,1.5,-1.5,0.5,1.4148,1.438,-1.4224,0.60303
1.5,0.5,1.5,0.5,1.702,0.69308,1.5289,0.48904
-0.5,-0.5,-1.5,0.5,-0.56765,-0.60362,-1.4585,0.32525
0.5,-1.5,1.5,-1.5,0.60744,-1.4729,1.4367,-1.5239
0.5,-0.5,-0.5,1.5,0.40348,-0.62347,-0.6577,1.3842
-1.5,-1.5,1.5,1.5,-1.5953,-1.4494,1.5105,1.4938
-1.5,1.5,-0.5,-0.5,-1.3555,1.4214,-0.40427,-0.36374
-0.5,-0.5,-1.5,0.5,-0.35589,-0.50808,-1.6462,0.52367
0.5,0.5,0.5,0.5,0.51783,0.53408,0.37014,0.41989
-0.5,-0.5,0.5,-1.5,-0.4607,-0.65662,0.57719,-1.5269
0.5,-0.5,0.5,1.5,0.4264,-0.5745,0.51218,1.5455
1.5,0.5,1.5,0.5,1.4941,0.47279,1.4057,0.44448
0.5,-1.5,-1.5,1.5,0.41233,-1.5258,-1.7128,1.6301
-1.5,1.5,1.5,-0.5,-1.6479,1.4179,1.3438,-0.51242
1.5,-0.5,-0.5,0.5,1.5549,-0.39495,-0.40193,0.54418
-1.5,-1.5,0.5,1.5,-1.5946,-1.6195,0.53076,1.4694
1.5,1.5,1.5,-1.5,1.343,1.508,1.0887,-1.5439
0.5,-1.5,1.5,0.5,0.49157,-1.4599,1.412,0.48343
-0.5,-1.5,0.5,-0.5,-0.37632,-1.6698,0.39289,-0.44698
-0.5,-0.5,-0.5,-1.5,-0.57249,-0.52766,-0.55026,-1.5123
0.5,-1.5,-1.5,1.5,0.55405,-1.5017,-1.418,1.4382
1.5,0.5,1.5,-1.5,1.4004,0.48577,1.4416,-1.3646
1.5,1.5,-0.5,-1.5,1.4891,1.3687,-0.67952,-1.5091
-1.5,-1.5,0.5,-0.5,-1.4947,-1.5086,0.73661,-0.47758
-0.5,0.5,-0.5,-0.5,-0.45694,0.46301,-0.44171,-0.68764
0.5,-0.5,0.5,0.5,0.44128,-0.55024,0.52246,0.46159
-1.5,-1.5,-1.5,-1.5,-1.6767,-1.4648,-1.7029,-1.3683
0.5,0.5,1.5,0.5,0.19851,0.49063,1.3488,0.43816
-0.5,-1.5,1.5,0.5,-0.57393,-1.5842,1.456,0.47618
1.5,0.5,0.5,-1.5,1.5473,0.23382,0.50378,-1.4479
1.5,-1.5,-1.5,1.5,1.3442,-1.6721,-1.5625,1.5513
-1.5,0.5,-1.5,-1.5,-1.517,0.40346,-1.7183,-1.4341
-0.5,-1.5,-1.5,-0.5,-0.55159,-1.5132,-1.6008,-0.62664
0.5,0.5,1.5,1.5,0.27285,0.40477,1.4605,1.4236
1.5,-1.5,1.5,1.5,1.3362,-1.4633,1.4788,1.3628
1.5,-0.5,0.5,0.5,1.521,-0.47587,0.26965,0.26611
1.5,-1.5,-1.5,-0.5,1.5072,-1.4756,-1.5812,-0.51239
0.5,-0.5,0.5,-1.5,0.40858,-0.63534,0.53922,-1.6184
0.5,-1.5,1.5,-1.5,0.36778,-1.4488,1.3625,-1.3175
-0.5,1.5,0.5,1.5,-0.53182,1.4358,0.29099,1.4942
1.5,-1.5,1.5,1.5,1.4167,-1.4146,1.368,1.3848
0.5,-0.5,1.5,-1.5,0.39256,-0.45854,1.4022,-1.5886
-0.5,1.5,-0.5,0.5,-0.55224,1.4024,-0.70279,0.43637
0.5,0.5,-1.5,0.5,0.55104,0.4937,-1.6071,0.39328
1.5,0.5,-1.5,1.5,1.415,0.3473,-1.5599,1.4672
1.5,0.5,0.5,-1.5,1.5307,0.62675,0.47862,-1.4251
0.5,-1.5,0.5,1.5,0.37967,-1.5543,0.51343,1.6102
-1.5,-1.5,-1.5,-1.5,-1.6095,-1.2822,-1.754,-1.2497
-0.5,-0.5,0.5,-1.5,-0.52036,-0.45663,0.39971,-1.4919
0.5,0.5,1.5,0.5,0.25095,0.40921,1.4371,0.47057
-1.5,0.5,0.5,-0.5,-1.4987,0.45481,0.58658,-0.44655
-0.5,1.5,1.5,-1.5,-0.50301,1.4563,1.3371,-1.446
-0.5,0.5,1.5,-0.5,-0.55098,0.32234,1.5216,-0.53352
-1.5,-1.5,1.5,-0.5,-1.533,-1.466,1.2921,-0.62727
-0.5,-0.5,1.5,-1.5,-0.53066,-0.36303,1.4311,-1.5692
1.5,-0.5,-0.5,0.5,1.51,-0.43561,-0.50942,0.50889
1.5,1.5,-0.5,-0.5,1.5717,1.4581,-0.53862,-0.47503
-1.5,-1.5,0.5,-0.5,-1.5487,-1.4854,0.44395,-0.50904
-0.5,-1.5,-1.5,0.5,-0.50362,-1.6938,-1.5782,0.34819
-0.5,1.5,-1.5,1.5,-0.50421,1.4453,-1.4251,1.5865
-0.5,0.5,1.5,-0.5,-0.72634,0.24541,1.3623,-0.59021
1.5,-0.5,-0.5,0.5,1.4795,-0.42864,-0.51128,0.38992
1.5,-0.5,0.5,1.5,1.4503,-0.55214,0.53193,1.3396
-0.5,1.5,-0.5,-0.5,-0.64412,1.4981,-0.76321,-0.5159
0.5,1.5,-1.5,1.5,0.45787,1.2335,-1.3814,1.4673
0.5,-0.5,-0.5,0.5,0.45548,-0.54412,-0.57834,0.36953
1.5,-0.5,1.5,-0.5,1.5101,-0.4238,1.3614,-0.74452
-0.5,-0.5,-0.5,1.5,-0.65283,-0.64096,-0.71193,1.4436
1.5,-0.5,1.5,0.5,1.4865,-0.42786,1.3461,0.41345
0.5,-0.5,0.5,-0.5,0.38755,-0.61989,0.50191,-0.67589
-1.5,1.5,1.5,1.5,-1.5891,1.4505,1.4779,1.5137
1.5,0.5,-0.5,-0.5,1.3981,0.5065,-0.50494,-0.48064
0.5,-0.5,-0.5,1.5,0.46178,-0.49897,-0.46405,1.4041
0.5,0.5,0.5,1.5,0.42295,0.42842,0.44567,1.4834
-1.5,-0.5,0.5,-0.5,-1.6459,-0.7069,0.42932,-0.45639
0.5,1.5,-1.5,-0.5,0.3963,1.5265,-1.4786,-0.47389
0.5,1.5,0.5,-0.5,0.3533,1.4515,0.46684,-0.50132
0.5,0.5,-0.5,-1.5,0.46604,0.5093,-0.60069,-1.5803
1.5,-1.5,-1.5,0.5,1.4095,-1.7534,-1.5687,0.64473
-1.5,0.5,-1.5,-0.5,-1.5251,0.52129,-1.6017,-0.47144
-1.5,-1.5,0.5,1.5,-1.481,-1.6431,0.44163,1.3261
-1.5,0.5,0.5,0.5,-1.4251,0.40388,0.52501,0.72197
1.5,1.5,1.5,1.5,1.5491,1.4981,1.3466,1.2406
0.5,-1.5,-1.5,-1.5,0.22282,-1.47,-1.7551,-1.3226
0.5,-1.5,-1.5,-1.5,0.3874,-1.4963,-1.5605,-1.2564
0.5,-0.5,1.5,1.5,0.52834,-0.4916,1.5342,1.3355
1.5,0.5,1.5,0.5,1.2996,0.42969,1.536,0.21092
0.5,0.5,-1.5,-0.5,0.48612,0.3128,-1.597,-0.59725
-0.5,-1.5,-0.5,-0.5,-0.43289,-1.6846,-0.52818,-0.67176
1.5,-0.5,0.5,1.5,1.4769,-0.39155,0.43006,1.6028
0.5,0.5,0.5,-1.5,0.29432,0.40845,0.33359,-1.3013
-0.5,0.5,0.5,1.5,-0.67097,0.34784,0.37571,1.3968
-1.5,1.5,1.5,-1.5,-1.4562,1.6484,1.3364,-1.6796
-0.5,1.5,1.5,1.5,-0.49137,1.4981,1.4781,1.3952
1.5,-0.5,-1.5,-1.5,1.2659,-0.64603,-1.6515,-1.4078
